,Tweet Id,Text,Username
0,811746810733723649,New Alzheimer Society resources to support a move to Long Term Care- https://t.co/70iD0JchpW  @AlzCanada #OT365,CAOT_ACE
1,813212976257896449,What to Know About Thyroid and Alzheimer's https://t.co/q2vjLAGbzc,yellowclaire
2,811773376653979648,"Hippocampus ! If this part are damage we could get dementia or Alzheimer's 
#Farahstudy #abnormalpsychology 😂 https://t.co/7AEGS9VFhP",_stellaa7
3,902649330645000192,How tackling hearing loss could reduce your risk of dementia | Alzheimer Society Blog - https://t.co/OAPsS9lpsV,Alzheimerduff
4,905510725791207425,"Finding the fun in the fog of Alzheimer’s
via @IrishTimes
https://t.co/fXykVetrnz",Watersun555
5,902683660633088000,Encouraging!!!  Study reveals what causes Alzheimer's and a drug that could stop it https://t.co/t6Dagrcydk via @MailOnline,consumerdriven
6,902678663950458881,"A family of 6 drowned in a van. 

2 adults (with Alzheimer's) and 4 children.",ElleChanel
7,902689920095068160,Stages of Alzheimer’s Disease and What to Expect https://t.co/d0ECr0EEGj,VictorvilleHISC
8,813172100592713728,Taking statins for 6 months reduces risk of Alzheimer's by up to 15% #alzheimer https://t.co/sfnTwVkRlR,AlyssaHowardMD
9,811743980534857729,The Telegraph will give £1 to Alzheimer's Research UK for every share of this video https://t.co/WP5WvjaDBr,mackem_1974
10,811741797609340932,Sniff Out Alzheimer's Risk with Powerful New Smell Test #healthyliving #blog @BrainBlogger https://t.co/wnYr4uEVZ5,aVivoPur
11,813167071085391873,"Santa Forgot, narrated by Stephen Fry, Alzheimer's UK. Watch video about Santa's dementia but how research can help. https://t.co/Ca7gkIuXrC",Margo_Dwight
12,811686895922987008,"It will be entirely fitting if, as seems likely, the study of Alzheimer's vastly clarifies our understanding of understanding itself. https://t.co/t7cXBSC275",CK_MacLeod
13,905489036214751232,Alzheimer's Deaths Jump 55 Percent: CDC https://t.co/fetmBHfjGW,RipSaunders
14,905526707330932736,"Alzheimer's Disease and Changes in Intimacy and Sexuality https://t.co/DboA9IJ3gc #alz,#caregiver",DrIreneRodway
15,813207238001172480,Does Coconut Oil or change in diet Help Alzheimer's? - Alzheimers Support https://t.co/LfV6Eo4urv,SandyAlz
16,902683356269338625,Is This The Beginning of #Alzheimer's Disease or... What City is this anyway? -   https://t.co/EOCfQafin6 https://t.co/t1PdVcM8GM,SandyAlz
17,902652161749901312,Join Zachary Haven's team for the Alzheimer's Association Walk to End Alzheimer's! https://t.co/17CVyiDYxO Donate if you can! @Zachary_Haven https://t.co/dp5EigGYyM,celebutardz
18,905441724234911745,Scientists Use Artificial Intelligence To Spot Alzheimer's Before Onset of Symptoms https://t.co/lnucHsEQc3 https://t.co/N5jwSKQ0QR,Mark2Cure
19,813209180722954240,"@teddavid @Mediaite He had Alzheimer's, which is formally recognized as a mental illness. https://t.co/RLzXSCmVOc",SusaHatch
20,811736802050658305,"Incredible tips! It is very important for many families! Congratulations,@Shapiro50plus ! #alzheimer https://t.co/ECMu7zxN52",LeoMaranhaoA
21,811763289713733632,Learn more about how medical marijuana eases suffering for #Alzheimer's: https://t.co/2Qu6cOYth0 https://t.co/MImUmGrvVU,Novus_Stock
22,811725638440730624,Please can 2017 bring good medicine for Alzheimer's.....I don't want to lose someone that's a dad to me...,sesvme
23,905525105048027136,"Choosing Appropriate, Clean Clothing for the Person with Alzheimer's or Dementia - Alzheimers Support  https://t.co/fVqpgQrG8h https://t.co/ZeNWF79xFo",SandyAlz
24,905499092637196288,Exercising can protect the brain from Alzheimer's disease -&gt; https://t.co/Yvn9zYjDS6,alzheimers_t
25,813227113398550528,Awakening From Alzheimer's: How 9 Maverick Do... by Peggy Sarlin https://t.co/vc37OezK3N via @amazon,SandyAlz
26,905483799508779012,"Hope Takes on Different Meanings for Alzheimer's Caregivers https://t.co/Vt4rkDdz5U #alz,#caregiver",DrIreneRodway
27,811685626013687809,That moment when you think granny went for a walk &amp; got lost because of Alzheimer's but she been in jail the whole time https://t.co/Gd3VZ9cXET,TheGodRashaun
28,811708100877189120,"#healthnews Newly discovered disease could hold key to Alzheimer's, Parkinson's – and even ageing... https://t.co/ilOGVdJWDR",eastleigh_pharm
29,905499704561106946,'Waves' of neural activity give new clues about Alzheimer's https://t.co/Xeb97iKIte https://t.co/8PhhlAoZqZ,crazyarchitect
30,811711633802330112,This new research sounds promising. What could this mean for #Alzheimer patients? https://t.co/Leyazze70G https://t.co/9MfsZ1aNYG,minibarrxfridge
31,811726122262085632,"Memory-Loss Stops The ""Internal Clock"" for those with Alzheimer's Dementia as they lose ""sense of time"" https://t.co/KwulEbKzaW",SandyAlz
32,811709642183061504,"Alzheimer's is a terrible, terrible way to live and a horrid way to die. It is the longest goodbye you will ever have in your life. https://t.co/X8vlFmIMwV",claudiascompan1
33,905514304748871680,I'm becoming more forgetful - could I have Alzheimer's disease? https://t.co/iXFIcVFwSr via @nuzzel thanks @epaultaylor,theresaboyle
34,813190789215977476,nothing like watching your dad attempt a connection with the shell of your grandmother left by alzheimer's,odd_ball__
35,811692115864522753,"Newly discovered disease could hold key to Alzheimer’s, Parkinson’s – and even ageing https://t.co/942gRiw9I6 https://t.co/9Qle0pBK8p",LifeboatHQ
36,811677004391219200,Check out this free learning opportunity being presented by the Alzheimer Society of Saskatchewan https://t.co/5SKwQG344D,CORuchoose
37,811727152345448448,#Zika virus could have #Alzheimer's-like effect in adults | The Independent https://t.co/BRW2d3GuVD,bedbug_blog
38,811678986979909632,Why Scientists Are Still Flummoxed by Alzheimer’s https://t.co/F3CxNkvobV,ColumbiaOnline
39,811763131965915136,"@realDonaldTrump Dad had Alzheimer's when he was 60. It does run in families. Yep, Trump is 70. 
I don't want a president with #Dementia. https://t.co/vERxVc4tJ5",nedmiller
40,811678918583418881,"In early stages of the disease, people with Alzheimer’s may have these symptoms. https://t.co/4fwprzpfib",KeckMedUSC
41,905464477918879744,Dealing with your Parents Behaviour because of Alzheimer's -its difficult https://t.co/McDLh5KKaz,SandraBevins
42,813212876374560769,Piano teacher and students brighten Christmas at Peoria Alzheimer's center https://t.co/QULuiEOjvF,pjstar
43,811757582633304065,A new way to decrease Alzheimer’s #disease by larger percentages: https://t.co/tE08Gxd1R5 #Alzheimers #health #brain #working #retirement,DrPolcino
44,813165581897637888,tf RT @fubarista: Cops taser 91yo Alzheimer's patient for not going to the doctor (Video) https://t.co/t3iUiyFD7S,Griffen
45,905530263232380928,I would agree and add...I also think he is an old man in the early stages of Alzheimer's . https://t.co/laouTvJGkW,MommaHurley
46,811760937459814400,@TheADDF hey!! Any news on research/drugs for dementia and Alzheimer's you can share? #askalzgla,angelalandis
47,811685683832193025,Mourning the Loss of a Friend to Alzheimer’s https://t.co/W8kBvwkCIz via @NextAvenue https://t.co/ehaXPqVr3p,MyAgedHelp
48,903016184764928001,Scientists Have Uncovered The Atomic Structure of a Key Alzheimer's Protein For The First Time https://t.co/XkG02m8DFF via @ScienceAlert,ujlibscience
49,811754807253934080,Emmerdale dementia episode praised by Alzheimer's Society - BBC News https://t.co/3srqeRVAnW,silverinnings
50,811745718247522304,Alzheimer's Research UK's 'Santa Forgot' Campaign Uses Beacons to Drive Awareness https://t.co/DrARDrNeyG #iBeacon #ble #iot,RealContext
51,811762595459960832,"Although Alzheimer's has taken over my Nannies body, I hope to find the love she had with my grandad. Today is their anniversary of 61 yrs.💛",Madison_LouiseG
52,905536091201167361,Alzheimer’s Disease: Greatest Threat to Healthy Aging. #alzheimers #healthyaging #endALZ #babyboomers... https://t.co/wPnPfNSvBg,SRC_Dayton
53,813224532895010816,"Been listening to mom say ""all-timers"" instead of Alzheimer's for way too many years, you guys. Someone please correct her, I'll pay u",CeeTerrence
54,811736785168531456,New study confirms Alzheimer's and aluminum link can no longer be ignored https://t.co/LQKEpJ8Akt,OFFICIALMRFAME
55,905466756428333056,"Comfort Clothing for someone with Alzheimer's, Dementia or other Memory Loss - Alzheimers Support https://t.co/v2vuY4kxlL https://t.co/dvNc7fzDxP",SandyAlz
56,903009978260353024,We are conducting Alzheimer’s research studies at several locations. Contact us at 1-888-777-8839. https://t.co/Kw97AXEftQ https://t.co/Fwd4GeAdOa,NewStudyInfo
57,902691161424269312,California's communities of color are @&gt;risk of Alzheimer's #endalz https://t.co/ZRcpHX86g5,californiaalz
58,905509482498809859,Tonight at the DC Center.  Know the 10 Signs of Alzheimer's - Please join us!... https://t.co/YWkm6GzuIU,centeraging
59,902673320730091521,Is This The Beginning of Alzheimer's Disease or... What City is this anyway? https://t.co/EOCfQafin6,SandyAlz
60,902664920361312257,Their genes put them at high risk of Alzheimer’s. So they’re experimenting — on themselves https://t.co/MxsF1VFIHN via @statnews,sgrahamsims
61,902682159189721088,The Drink That Cuts Alzheimer’s Risk Up To 86% https://t.co/NzCKObUu9q via @PsyBlog,jenparnold
62,811663003393413121,Can #Paleo help prevent or treat #Alzheimer's? https://t.co/xzLMaQxdyV  https://t.co/UpPmTnY5ZF,Paleovegandiet
63,813176886251651072,My heart goes out to people with dementia/alzheimer's and their families that struggle along with them,sarahApetersen
64,902673578419560448,Exercise is key to staving off Alzheimer's: When Moll Anderson… https://t.co/EEKK6uZaw6 https://t.co/PvYEP4NoYR https://t.co/PvYEP4NoYR,anniemsullivan
65,902680120544067584,Fund for Alzheimer’s Research Established at UT https://t.co/Vq8rjnaBor https://t.co/ZT0riYEutp,SandyAlz
66,813198129772265472,First Human Trial for New Alzheimer’s Vaccine Finds the “Achilles’ Heel” of Alzheimer’s https://t.co/OI87wImwZs,ovais_docmed
67,902650048445652992,Aging Vision and Alzheimer's https://t.co/GDBwKxRyQB,Lsimons62
68,811666008561754112,"Using herpes drugs to slow down Alzheimer's 
@AlzNorCalNorNev @alzIllinois @AlzDemWeekly @alzheimerssoc https://t.co/6iIQakHMis",DisabilityRepor
69,811742144260141057,Will We Soon Treat Alzheimer's With THC... And Light? https://t.co/aKjc3wuLgp via @@herbworthy,Green6Mafia
70,902684818118467584,Coloring activities for adults with #Alzheimer's and #Dementia https://t.co/Q9OjVuoF9E #elderlyhealth https://t.co/s5SlNw2NwO,sajjohnson1
71,811710562467856384,Efficacy of video-music therapy on quality of life improvement in patients w/Alzheimer's disease: a pre-post study.  https://t.co/hVMyMjtqNm,DrRPalmquist
72,811739333040500736,Painting a picture of Alzheimer's disease https://t.co/eC7JWO1Yz2,AotearoaBrain
73,811728933959897088,Help defeat dementia with Alzheimer's Research UK https://t.co/64QSenGG47 via @telegraph,LostRocker_x
74,902687450006339584,Popular Heartburn Drugs Don't Raise Risk of Alzheimer's: Study https://t.co/QFl0Dd8m4j #health,JTWHealth
75,903005279482253318,Actually breaks my heart that Rita off coronation street is getting Alzheimer's💔 and it isn't even real😢,amyywoodruff
76,811679649193398274,Hear more of these new PSA's about Alzheimer's and dementia on Salem Radio Stations!… https://t.co/iOKxVsYvXI,joekleid
77,902671276845793280,Early Onset Alzheimer Behavior - How will I know?  https://t.co/wzwLQznJRS https://t.co/4mTHt5KKdl,SandyAlz
78,811673000839933956,Click To Support Alzheimer's Research @ The Alzheimer's Site https://t.co/7IXkd5SneW via @po_st #alzheimers #elders #dementia,DebraDianeParr
79,811662558365175808,"Drinking 3 cups of coffee a day can help prevent Alzheimer's, Parkinson's
https://t.co/WGpd8Yg5mT",ilovecoffee8
80,811771233436139521,Alzheimer's is the worst disease on the planet,hailey_lauren3
81,811673179873742848,"Cop kills unarmed 73 yo Alzheimer's victim.
Hes' not #black so no one cares.  #DisabledLivesMatter .
https://t.co/lfZ3GHlBrh",USAgenda22
82,811703133235597312,@gekkeijyu @BraddJaffy Loss of recent memory? I'm worried about early signs of Alzheimer!,popywee
83,905532161649979393,"Memory-Loss Stops The ""Internal Clock"" for those with Alzheimer's Dementia as they lose ""sense of time"" https://t.co/VlH46PCz2k",SandyAlz
84,902660905808392193,"Individuals with Alzheimer's can become isolated, but we should continue to acknowledge their humanity. https://t.co/DkArhGuIzQ #Dementia",RightAtHomeOC
85,902673353546313728,Found out my granny got Alzheimer's disease 😞 keep her in y'all prayers for me,kingced24
86,811661344055455745,"2017 Georgia Alzheimer's Awareness Day at the Capitol: Friday, February 3, 2017 https://t.co/y2rLzNOPdo",GGS30357
87,903013533692067840,Can the person with late-stage Alzheimer's Dementia Feel Pain? - Alzheimers Support https://t.co/H84zc3dO0H,SandyAlz
88,813224229130866688,Flickering Light Treatment Holds Promise for Alzheimer's | Sci-Tech ... #alzheimer https://t.co/G3p64u5muk,AlyssaHowardMD
89,811677493589479424,Probably Alzheimer's which would account for why his children have in essence taken over and sit in on meetings. (Speaking from experience.) https://t.co/39huA4Xpo6,ShoeBeDoBeDoooo
90,813235931994083328,"A cool thing about my dad’s Alzheimer’s was having to re-explain the news to him—e.g. “Wait, why are we at war in Iraq?” in 2007",lifewinning
91,902684699046412292,Unraveling Alzheimer's: New study documents how brain cells go bad https://t.co/rNSkngbDkv,CiminoCare
92,902667221247414272,"#Coaching #Cuidadores #Alzheimer https://t.co/Qj6gBNfRYZ - top stories by @carthagebuckley, @moretime4u2",macmaria27
93,813202956610928641,Cold Weather Precautions for Elderly with Alzheimer’s - Alzheimers Support https://t.co/MKTBhFFJ6s https://t.co/k7WJ5nVISa,SandyAlz
94,811689810427609089,Sleeping Kitty The Perfect Gift for Alzheimer's - Alzheimers Support  https://t.co/op2EmHEDFz,sandysgingham
95,905448379056041985,Association between chronic periodontitis and the risk of Alzheimer’s disease: a… https://t.co/3b50RpXFXB,jablow
96,811721662668374016,"And that's that you guys. If you know someone with Dementia, Alzheimer's or developing Alzheimer's cut them some slack, K?",lifeasshadae
97,811735073590562820,A sensitive new video about Early Onset Alzheimer's - Alzheimers Support https://t.co/gSRYK9bsPa https://t.co/ehQSuA5ZVp,SandyAlz
98,905493163212754944,Which genetic marker is the ring leader in the onset of Alzheimer's disease? https://t.co/QjBcf8MEZB https://t.co/UKzY1Awywf,ForeverLabsInc
99,811739260671950848,Knowing what Alzheimer’s isn’t is just as important as knowing what Alzheimer’s is https://t.co/ecwoHFA74m,KeckMedUSC
100,811663165356437506,"Refer a friend. Help a charity. For every referred patient, we will donate $10 to Alzheimer's Network @AlzNetOR https://t.co/URgb3gBMPz",mysmilesdental
101,811709981284175872,Alzheimer’s Plaque in Mice Cut in Half With Flashing Lights https://t.co/w9V6b37zy2 https://t.co/MsYqnKDqVT,KQEDscience
102,811712036237438976,This is a man who can't remember what he said last week so he doesn't know his plan. Early stage Alzheimer's https://t.co/ONQIBQNJYO,pjhnsn8
103,813238641149538305,The financial and emotional toll of America’s Alzheimer’s problem https://t.co/5b7e7MV0fI via @YahooFinance,AlzheimersNws
104,902679313383800832,Support Lulu's girls in the Walk to End Alzheimer's. Donate today and help #ENDALZ. https://t.co/L0kyVOvbAV,alysrobyn
105,813175323701481473,"New Study Explores Molecular Roots Of Alzheimer's Disease
https://t.co/5M8D1Zp70T",AlexahTrends
106,905447997869359107,"Every time you think of a memory, your mind changes it - in other words, the purest memories are in the minds of those with Alzheimer's.",RareUnusualFact
107,905453336199094277,"""For the 3rd year in a row we propose a $2B increase @NIH, including a $414M increase in Alzheimer's related research"" - @RoyBlunt",ALZIMPACT
108,905476535578124290,"""#Researchers Unlock the #MolecularOrigins of #Alzheimer's #Disease""
https://t.co/CMm9lCSVED
#LatestHealthCareNews https://t.co/0qasEm0WNL",LetsFaceItCare
109,811683511799312384,Thinking of caring for a loved one with #Alzheimer at home? Check out some of our tips on our latest #blog https://t.co/2ZfshJxVkO #mobility https://t.co/zzSrVNGfo7,VitalMobility
110,811684492570083328,"@JoyceCarolOates Alzheimer's bc how REACTS to finding out he forgot -
That's what changes w/ Alz: we lose the ""oops!"" feeling/reaction",HotFriday00
111,811733050421673984,#Cannabis may remove toxic protein associated with Alzheimer's https://t.co/BsFHuwTpwU,greenflwrmedia
112,903022415625805825,I am Walking to End Alzheimer's 4 my Dad.  Donate 2 Dennis and the Menaces (to Alzheimer's)! &amp; help #ENDALZ: https://t.co/nkIoKmKcAs,PhilPerrin
113,811717200302264320,@docmmiller @SelimYeniceri Supplements can halt #Alzheimer’s in groundbreaking dementia prevention treatment https://t.co/CBbIkEwkMW,mobygrapefan
114,903017736778825728,Researchers seek to catch Alzheimer's early by peeking into the eyes https://t.co/SP3dR3C8hv,DanCas2
115,813243474590007296,Is This The Beginning of #Alzheimer's Disease or... What City is this anyway? -   https://t.co/EOCfQafin6,SandyAlz
116,902685228832931841,The effects of Vitamin D on Alzheimer's disease https://t.co/yIgbb7Fd0z,50Plushealths
117,905446317035372546,How are Peanut Butter and Alzheimer’s Connected? https://t.co/SWOq7nRCLR,batsflywest
118,903015122435575809,"How a 9 year-old spent his summer vacation, helping seniors, some with Alzheimer's  ......  https://t.co/QuRMJP04sl",SanDiegoAlz
119,905447325602111488,Are Alzheimer's Activity Puzzles appropriate for the Person with dementia and Advanced Alzheimer's? https://t.co/wvKi9mrP0b https://t.co/tnJwWHymYL,SandyAlz
120,813208598545367040,dementia (Alzheimer's) takes everything away from a person so fast😔 it's heartbreaking to see💙,meganl1517
121,905530880453738497,Does Coconut Oil Help Alzheimer's? - Alzheimers Support  https://t.co/oys9cWgNZC,SandyAlz
122,813240754386636801,"@3lectric5heep he thinks Moslems persecuted n moslem countries 4 practicing Islam, is he gettin Alzheimer? They bring persecution with them!",GGthinking
123,811699398279184384,Aluminum and Alzheimer's Rachelle Ledesma Wendy Sta Clara Christy Marfil https://t.co/miLdo7ujPA,bengst_ph
